fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails.currentIcuCovid,metrics.icuHeadroomDetails.currentIcuCovidMethod,metrics.icuHeadroomDetails.currentIcuNonCovid,metrics.icuHeadroomDetails.currentIcuNonCovidMethod,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
29,US,MO,,state,,iso1:us#iso2:us-mo,,6137428,0.054,other,9.4,0.03,1.1,0.1,0.37,184,actual,1280,actual,0.82,1,1,1,2,1,0,2,623721,9828,655892,5553342,94,26185,13871,709,0.62,1775,1464,184,0.689096797409,807,6014395,2669376,2250890,2021-06-17,https://covidactnow.org/us/missouri-mo,0.435,0.367,3,4886829
69,US,MP,,state,,iso1:us#iso2:us-mp,,53605,,other,0.0,,,,,,,,,,0,4,0,4,4,4,4,183,2,404,36643,10,,,,,,,,,0,72330,27926,24707,2021-06-17,https://covidactnow.org/us/northern_mariana_islands-mp,0.521,0.461,0,52264
28,US,MS,,state,,iso1:us#iso2:us-ms,,2976149,0.028,other,4.0,0.34,0.93,0.15,0.17,50,actual,562,actual,0.71,1,0,1,1,1,0,1,319511,7368,158722,1268172,200,14398,5686,190,0.51,859,612,50,0.807865168539,83,2623625,1047616,848221,2021-06-17,https://covidactnow.org/us/mississippi-ms,0.352,0.285,7,1844191
30,US,MT,,state,,iso1:us#iso2:us-mt,,1068778,0.039,other,5.7,0.65,0.89,0.16,0.14,15,actual,114,actual,0.57,1,1,1,1,0,0,0,113128,1649,144051,1088300,200,3639,2088,57,0.57,225,129,15,0.61,71,1095905,498679,436046,2021-06-17,https://covidactnow.org/us/montana-mt,0.467,0.408,2,907825
37,US,NC,,state,,iso1:us#iso2:us-nc,,10488084,0.023,other,3.7,0.62,0.85,0.1,0.23,160,actual,1727,actual,0.78,1,0,1,1,0,0,1,1005762,13333,993249,10799888,1215,29396,18270,567,0.64,2411,1887,160,0.77562210038,350,11532520,4649864,3995039,2021-06-17,https://covidactnow.org/us/north_carolina-nc,0.443,0.381,17,8440240
38,US,ND,,state,,iso1:us#iso2:us-nd,,762062,0.016,other,3.6,3.61,0.83,0.26,0.16,12,actual,122,actual,0.67,1,0,1,0,0,0,0,110523,1553,99844,1556051,500,3991,1689,51,0.55,199,134,12,0.67,19,707820,328495,288032,2021-06-17,https://covidactnow.org/us/north_dakota-nd,0.431,0.378,1,629653
31,US,NE,,state,,iso1:us#iso2:us-ne,,1934408,0.03,other,1.6,6.45,0.87,0.25,0.05,9,actual,388,actual,0.7,1,0,1,0,0,0,0,223931,2517,253404,1804633,1000,7482,2870,54,0.53,568,397,9,0.638330757342,43,2053380,963777,862668,2021-06-17,https://covidactnow.org/us/nebraska-ne,0.498,0.446,0,1770036
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.013,other,2.1,0.98,0.82,0.26,0.01,1,actual,168,actual,0.6,1,0,1,0,0,0,0,99196,1364,82191,1987546,140,3472,2267,25,0.68,282,169,1,0.56,18,1786515,834294,735827,2021-06-17,https://covidactnow.org/us/new_hampshire-nh,0.614,0.541,0,1486923
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.011,other,3.0,2.29,0.93,0.1,0.04,71,actual,1193,actual,0.41,1,0,1,0,1,0,0,1020326,26352,1005117,13323713,3000,30568,17007,439,0.69,3072,1264,71,0.176470588235,283,11308045,5604106,4737908,2021-06-17,https://covidactnow.org/us/new_jersey-nj,0.631,0.533,7,9728973
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.018,other,4.4,0.81,0.93,0.17,0.21,30,actual,299,actual,0.74,1,0,1,1,1,0,1,204472,4307,273064,2732773,375,5482,2964,100,0.59,444,329,30,0.59,80,2329355,1254785,1070030,2021-06-17,https://covidactnow.org/us/new_mexico-nm,0.598,0.51,3,2252892
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.045,other,7.5,0.52,1.03,0.1,0.16,49,actual,544,actual,0.7,1,1,1,1,1,0,0,328194,5635,445849,3014686,600,9585,6358,234,0.68,845,593,49,0.79,363,2990680,1469828,1221242,2021-06-17,https://covidactnow.org/us/nevada-nv,0.477,0.396,4,2649807
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.006,other,2.2,4.45,0.75,0.1,0.09,189,actual,3224,actual,0.63,1,0,1,0,0,0,0,2108535,52995,2375941,44199555,9620,62862,40108,1192,0.74,5430,3413,189,0.63,286,23414745,11341753,9928815,2021-06-17,https://covidactnow.org/us/new_york-ny,0.583,0.51,2,20912179
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.013,other,2.7,1.06,0.79,0.1,0.08,125,actual,2702,actual,0.67,1,0,1,0,0,0,0,1107902,20122,961350,12024633,1659,48487,24171,850,0.61,4191,2827,125,0.732111692845,381,12216915,5532693,4996740,2021-06-17,https://covidactnow.org/us/ohio-oh,0.473,0.427,0,10357195
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.04,other,3.8,0.93,1.09,0.14,0.15,41,actual,753,actual,0.78,1,1,1,0,1,0,1,455145,7354,474412,1884510,700,15316,7707,279,0.55,1020,794,41,0.8300653594769999,216,3968045,1720961,1430408,2021-06-17,https://covidactnow.org/us/oklahoma-ok,0.435,0.361,29,3126963
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.03,other,6.0,0.52,0.89,0.1,0.16,50,actual,506,actual,0.69,1,0,1,1,0,0,0,205780,2775,201519,3521918,656,9401,5314,228,0.66,811,556,50,0.755994358251,321,5555275,2413622,2125535,2021-06-17,https://covidactnow.org/us/oregon-or,0.572,0.504,11,4371768
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.015,other,2.9,0.82,0.71,0.1,0.14,164,actual,2519,actual,0.73,1,0,1,1,0,0,1,1214051,27582,1245640,13835945,1508,46557,24960,856,0.64,3672,2683,164,0.775986525505,279,15396195,7818311,6045055,2021-06-17,https://covidactnow.org/us/pennsylvania-pa,0.611,0.472,16,13366581
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.018,other,1.4,,0.71,0.19,0.05,10,actual,446,actual,0.7,1,0,1,4,0,0,0,173075,2538,75036,962784,10,8813,5894,95,0.5756390801914323,650,456,10,0.6750265957446808,11,3907030,1740439,1326897,2021-06-17,https://covidactnow.org/us/puerto_rico-pr,0.545,0.415,2,2952854
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.005,other,2.4,1.56,0.76,0.26,0.12,5,actual,127,actual,0.78,1,0,1,0,0,0,1,152333,2723,181473,3511533,200,4180,2314,84,0.59,169,132,5,0.7,27,1492595,667269,590578,2021-06-17,https://covidactnow.org/us/rhode_island-ri,0.63,0.557,0,1226183
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.02,other,2.0,1.47,0.73,0.13,0.12,46,actual,766,actual,0.71,1,0,1,0,0,0,1,595310,9790,628253,5793400,775,15463,8244,147,0.63,1151,812,46,0.73875083949,25,5198355,2185161,1867916,2021-06-17,https://covidactnow.org/us/south_carolina-sc,0.424,0.363,0,3979592
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.041,other,1.1,7.21,0.66,0.41,0.03,3,actual,124,actual,0.54,1,1,1,0,0,0,0,124382,2026,70103,577725,350,3379,1679,26,0.47,236,127,3,0.47,5,948305,437633,390006,2021-06-17,https://covidactnow.org/us/south_dakota-sd,0.495,0.441,0,799876
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.023,other,2.2,1.64,0.79,0.12,0.13,123,actual,1422,actual,0.65,1,0,1,0,0,0,0,852863,12405,791545,6334537,1226,25754,12781,382,0.62,2377,1545,123,0.8780727630290001,214,6210510,2765521,2316420,2021-06-17,https://covidactnow.org/us/tennessee-tn,0.405,0.339,2,5088740
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.028,other,3.8,0.68,0.9,0.1,0.24,511,actual,4869,actual,0.77,1,0,1,1,0,0,1,2936434,52185,3214954,23765766,3722,96942,50307,2058,0.62,7000,5380,511,0.63,2254,31200615,13511241,11228415,2021-06-17,https://covidactnow.org/us/texas-tx,0.466,0.387,38,24558568
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.049,other,8.7,0.86,1.06,0.1,0.18,56,actual,322,actual,0.6,1,1,1,1,1,0,0,410447,2324,502058,3716790,1200,7404,3761,157,0.56,630,378,56,0.58,412,3178230,1510856,1134662,2021-06-17,https://covidactnow.org/us/utah-ut,0.471,0.354,1,2736346
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.017,other,1.7,2.13,0.77,0.11,0.09,68,actual,1218,actual,0.66,1,0,1,0,0,0,0,678226,11330,943211,7258565,1547,22998,13104,367,0.65,1943,1286,68,0.52701127089,277,10162945,4920228,4205777,2021-06-17,https://covidactnow.org/us/virginia-va,0.576,0.493,2,8905182
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.006,other,1.1,1.55,0.7,0.5,0.02,1,actual,59,actual,0.56,1,0,1,0,0,0,0,24348,256,34910,1753270,53,1703,869,2,0.69,107,60,1,0.5,9,908500,452968,392724,2021-06-17,https://covidactnow.org/us/vermont-vt,0.726,0.629,0,827969
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.022,other,6.7,0.83,0.83,0.1,0.23,116,actual,788,actual,0.7,1,0,1,1,0,0,0,447720,5850,316356,5789250,2122,17724,9993,657,0.7,1292,904,116,0.67,452,9212310,4511392,3889658,2021-06-17,https://covidactnow.org/us/washington-wa,0.592,0.511,8,8156166
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.011,other,1.6,1.27,0.72,0.14,0.08,58,actual,865,actual,0.58,1,0,1,0,0,0,0,676055,8041,741050,8907203,600,19111,8915,174,0.56,1599,923,58,0.58,36,6032885,3057646,2732284,2021-06-17,https://covidactnow.org/us/wisconsin-wi,0.525,0.469,18,5694640
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.032,other,4.7,0.59,0.8,0.14,0.22,48,actual,446,actual,0.74,1,1,1,1,0,0,1,163311,2861,196506,2616199,248,8395,4561,163,0.58,668,494,48,0.67,90,1871625,757128,642457,2021-06-17,https://covidactnow.org/us/west_virginia-wv,0.422,0.358,5,1371253
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.046,other,10.3,0.17,0.97,0.19,0.15,13,actual,26,actual,0.34,2,1,2,1,1,0,0,61359,734,53038,751012,50,1883,691,35,0.4,114,39,13,0.467213114754,56,510585,221754,192396,2021-06-17,https://covidactnow.org/us/wyoming-wy,0.383,0.332,0,410138
